id,Headline,Link,Author,Dates
0,"Framework’s computers aren’t perfect, but they are exciting",https://www.theverge.com//23664746/framework-laptop-excitement-vpr-matrix-history-nostalgia,Dan Seifert,Two hours ago
1,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com//2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
2,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,https://www.theverge.com//23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,Chris Person,An hour ago
3,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com//2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
4,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com//23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
5,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com//23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
6,Super73 launches Adventure Series and first e-bike for danger babies,https://www.theverge.com//2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,12:08 PM GMT+5:30
7,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,https://www.theverge.com//23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,Chris Person,An hour ago
8,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com//2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,5:40 AM GMT+5:30
9,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com//23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
10,"When healthcare is decided by algorithms, who wins?",https://www.theverge.com//23664533/medicare-advantage-healthcare-algorithm,Barbara Krasnoff,Apr 1
11,Why can’t more music apps be like Apple Music Classical?,https://www.theverge.com//2023/4/2/23659934/apple-music-classical-metadata-is-good,Alex Cranz,9 minutes ago
12,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,https://www.theverge.com//good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,Antonio G. Di Benedetto,Apr 1
13,Cheaper Xbox expandable storage cards are on the way,https://www.theverge.com//2023/4/2/23666795/western-digital-xbox-storage-expansion-card,Tom Warren,Two hours ago
14,"It’s April Fools’ Day, but this Asus ROG Ally handheld gaming PC might not be a joke",https://www.theverge.com//2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,3:42 AM GMT+5:30
15,Riot made its esports arena transform for new Valorant league,https://www.theverge.com//2023/4/1/23662992/riot-games-arena-valorant-esports-league,Andrew Webster,Apr 1
16,Quick fixes: When Disney Plus is so dark you can barely see anything,https://www.theverge.com//2023/3/31/23522169/how-to-fix-disney-plus-brightness-dark-hdr-dolby-vision,Sean Hollister,Apr 1
17,This hoverboard is being recalled after a fire that killed two children,https://www.theverge.com//2023/3/31/23665249/hoverboard-recall-jetson-rogue-cspc-recall-fire-risk,Jay Peters,Apr 1
18,Marvel’s Secret Invasion series actually sounds kind of fascinating,https://www.theverge.com//2023/3/31/23665128/marvel-secret-invasion-disney-plus-skrulls,Charles Pulliam-Moore,Apr 1
19,"Twitter’s $1,000 checkmark will be free for the 10,000 most-followed companies",https://www.theverge.com//2023/3/31/23664923/twitter-verification-for-organizations-free-for-most-followed,Mitchell Clark,Apr 1
20,"The Murder of Sonic the Hedgehog is a new, real, and free game you can play right now",https://www.theverge.com//2023/3/31/23665215/sonic-the-hedgehog-murder-mystery-game-free-steam,Antonio G. Di Benedetto,Apr 1
21,This is what a plant sounds like when it’s stressed,https://www.theverge.com//2023/3/31/23664767/plant-sounds-stress-tomato-tobacco-research,Justine Calma,Apr 1
22,The ‘Truckla’ DIY Tesla pickup truck is still trucking,https://www.theverge.com//2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video,Umar Shakir,Apr 1
23,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",https://www.theverge.com//2023/3/31/23664849/twitter-releases-algorithm-musk-open-source,Mitchell Clark,Apr 1
24,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,https://www.theverge.com//2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,Andrew J. Hawkins,Mar 31
25,Vampire Survivors’ new fantasy-themed expansion launches in April for just $2,https://www.theverge.com//2023/3/31/23664809/vampire-survivors-tides-of-the-foscari-fantasy-dlc-expansion-release-date,Jay Peters,Mar 31
26,Amazon to adapt Aaron Foley’s Boys Come First as a new series,https://www.theverge.com//2023/3/31/23664595/amazon-boys-come-first-aaron-foley-chuck-hayward,Charles Pulliam-Moore,Mar 31
27,"Fewer EVs will qualify for the federal $7,500 tax credit under updated rules",https://www.theverge.com//2023/3/31/23664636/federal-ev-tax-credit-vehicles-qualify-eligible-battery-china,Andrew J. Hawkins,Mar 31
28,"The surprisingly complex business of toys, with Hasbro CEO Chris Cocks",https://www.theverge.com//2023/3/31/23664113/toys-hasbro-ceo-chris-cocks-magic-dungeons-and-dragons-transformers-business,Nilay Patel,Mar 31
29,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com//2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,Apr 1
30,The ‘Truckla’ DIY Tesla pickup truck is still trucking,https://www.theverge.com//2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video,Umar Shakir,Mar 31
31,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),https://www.theverge.com//23648726/hp-officejet-printer-region-how-to-change-why,Nathan Edwards,Apr 1
32,"It’s April Fools’ Day, but this Asus ROG Ally handheld gaming PC might not be a joke",https://www.theverge.com//2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,Apr 1
33,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,https://www.theverge.com//2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,Andrew J. Hawkins,Mar 31
